,0
0,Sandwich Place
1,Gas Station
2,Park
3,Asian Restaurant
4,Beer Store
5,Fast Food Restaurant
6,Bank
7,Cantonese Restaurant
8,Liquor Store
9,Coffee Shop
10,Pizza Place
11,Pharmacy
12,Karaoke Bar
13,Pet Store
14,Intersection
15,Discount Store
16,Korean Restaurant
17,Bakery
18,Grocery Store
19,Train Station
20,Deli / Bodega
21,Video Game Store
22,Hobby Shop
23,Market
24,Trail
25,Tea Room
26,Indian Restaurant
27,Vegetarian / Vegan Restaurant
28,Castle
29,Theater
30,History Museum
31,Gastropub
32,Latin American Restaurant
33,Jewish Restaurant
34,Sports Bar
35,Historic Site
36,Middle Eastern Restaurant
37,Steakhouse
38,Burger Joint
39,Diner
40,Gym
41,Skating Rink
42,Cheese Shop
43,Soccer Field
44,Gourmet Shop
45,Dog Run
46,Community Center
47,Sushi Restaurant
48,Italian Restaurant
49,Bookstore
50,Café
51,Salad Place
52,Portuguese Restaurant
53,Bar
54,Falafel Restaurant
55,Burrito Place
56,College Auditorium
57,Mediterranean Restaurant
58,Restaurant
59,College Cafeteria
60,Music Venue
61,Pool
62,Recreation Center
63,Playground
64,Dessert Shop
65,Furniture / Home Store
66,Auto Garage
67,Shopping Mall
68,Convenience Store
69,Basketball Court
70,Construction & Landscaping
71,Spa
72,Auto Workshop
73,Tennis Stadium
74,Chinese Restaurant
75,Snack Place
76,Brewery
77,Cocktail Bar
78,Mexican Restaurant
79,Vietnamese Restaurant
80,Department Store
81,Paper / Office Supplies Store
82,BBQ Joint
83,Thrift / Vintage Store
84,Speakeasy
85,Japanese Restaurant
86,Caribbean Restaurant
87,Cuban Restaurant
88,Electronics Store
89,Toy / Game Store
90,Pub
91,Optical Shop
92,Food Court
93,Metro Station
94,Business Service
95,Farmers Market
96,Scenic Lookout
97,Flower Shop
98,Ice Cream Shop
99,Breakfast Spot
100,Supermarket
101,Bistro
102,Filipino Restaurant
103,Hotel
104,Light Rail Station
105,Yoga Studio
106,Ramen Restaurant
107,Modern European Restaurant
108,Juice Bar
109,Gay Bar
110,Thai Restaurant
111,Adult Boutique
112,Sake Bar
113,Clothing Store
114,Lounge
115,College Rec Center
116,Strip Club
117,Movie Theater
118,Gym / Fitness Center
119,Shoe Store
120,Beach
121,Harbor / Marina
122,Boat or Ferry
123,Jewelry Store
124,Fish Market
125,Butcher
126,Irish Pub
127,Smoke Shop
128,Video Store
129,Salon / Barbershop
130,Dance Studio
131,Curling Ice
132,Bubble Tea Shop
133,Taiwanese Restaurant
134,Szechuan Restaurant
135,Medical Supply Store
136,Wine Shop
137,Gift Shop
138,Soup Place
139,Baseball Field
140,Shipping Store
141,Lighting Store
142,Boutique
143,Food
144,Wine Bar
145,Jazz Club
146,Distribution Center
147,Dive Bar
148,Health Food Store
149,Fish & Chips Shop
150,Bus Station
151,Music Store
152,Plaza
153,French Restaurant
154,Laundry Service
155,Camera Store
156,Home Service
157,Other Repair Shop
158,Garden Center
159,Cosmetics Shop
160,Women's Store
161,Sporting Goods Shop
162,Platform
163,American Restaurant
164,Accessories Store
165,Frozen Yogurt Shop
166,Science Museum
167,Theme Park Ride / Attraction
168,Health & Beauty Service
169,Board Shop
170,Skate Park
171,Food & Drink Shop
172,Golf Course
173,Moving Target
174,Nail Salon
175,Automotive Shop
176,Hockey Arena
177,Carpet Store
178,Massage Studio
179,Field
180,Tennis Court
181,Seafood Restaurant
182,Bus Line
183,Wings Joint
184,Chocolate Shop
185,Arts & Crafts Store
186,Arcade
187,Neighborhood
188,Art Gallery
189,Poke Place
190,University
191,Donut Shop
192,Noodle House
193,Greek Restaurant
194,Outdoors & Recreation
195,Turkish Restaurant
196,Performing Arts Venue
197,Bike Shop
198,Athletics & Sports
199,Ethiopian Restaurant
200,Hawaiian Restaurant
201,Hotel Bar
202,Beach Bar
203,Record Shop
204,Dumpling Restaurant
205,Hotpot Restaurant
206,Shopping Plaza
207,Boat Launch
208,Martial Arts School
209,Big Box Store
210,German Restaurant
211,Creperie
212,Molecular Gastronomy Restaurant
213,Beer Bar
214,Bagel Shop
215,Cemetery
216,Bus Stop
217,Road
218,Tapas Restaurant
219,Comfort Food Restaurant
220,Smoothie Shop
221,Design Studio
222,Farm
223,Theme Restaurant
224,Men's Store
225,Rock Club
226,Boxing Gym
227,South American Restaurant
228,Soccer Stadium
229,Nightclub
230,Tex-Mex Restaurant
231,Fried Chicken Joint
232,Indie Movie Theater
233,Whisky Bar
234,Southern / Soul Food Restaurant
235,Hot Dog Joint
236,Rental Car Location
237,Sports Club
238,Souvlaki Shop
239,Candy Store
240,Mobile Phone Shop
241,Auto Dealership
242,Building
243,Bridal Shop
244,Office
245,Mini Golf
246,Garden
247,Museum
248,Government Building
249,Lake
250,Post Office
251,Hakka Restaurant
252,Bridge
253,New American Restaurant
254,Persian Restaurant
255,Food Truck
256,Taco Place
257,Hostel
258,Belgian Restaurant
259,Doner Restaurant
260,Hospital
261,Bed & Breakfast
262,Concert Hall
263,Music School
264,College Theater
265,Art Museum
266,College Arts Building
267,Animal Shelter
268,Brazilian Restaurant
269,Hookah Bar
270,Lawyer
271,Event Service
272,Hardware Store
273,Indonesian Restaurant
274,Fireworks Store
