venue_category,new_category
Sandwich Place,Fast Food
Gas Station,Gas Station
Park,Park
Asian Restaurant,Restaurant
Beer Store,Store
Fast Food Restaurant,Restaurant
Bank,Bank
Cantonese Restaurant,Restaurant
Liquor Store,Store
Coffee Shop,Cafe
Pizza Place,Fast Food
Pharmacy,Pharmacy
Karaoke Bar,Bar
Pet Store,Store
Intersection,Road
Discount Store,Store
Korean Restaurant,Restaurant
Bakery,Restaurant
Grocery Store,Store
Train Station,Public Transport
Deli / Bodega,Restaurant
Video Game Store,Store
Hobby Shop,Store
Market,Groceries
Trail,Park
Tea Room,Cafe
Indian Restaurant,Restaurant
Vegetarian / Vegan Restaurant,Restaurant
Castle,Building
Theater,Arts
History Museum,Arts
Gastropub,Bar
Latin American Restaurant,Restaurant
Jewish Restaurant,Restaurant
Sports Bar,Bar
Historic Site,Arts
Middle Eastern Restaurant,Restaurant
Steakhouse,Restaurant
Burger Joint,Fast Food
Diner,Restaurant
Gym,Sports
Skating Rink,Sports
Cheese Shop,Store
Soccer Field,Sports
Gourmet Shop,Store
Dog Run,Pets
Community Center,Community Center
Sushi Restaurant,Restaurant
Italian Restaurant,Restaurant
Bookstore,Education
Café,Cafe
Salad Place,Restaurant
Portuguese Restaurant,Restaurant
Bar,Bar
Falafel Restaurant,Restaurant
Burrito Place,Fast Food
College Auditorium,Education
Mediterranean Restaurant,Restaurant
Restaurant,Restaurant
College Cafeteria,Fast Food
Music Venue,Arts
Pool,Sports
Recreation Center,Community Center
Playground,Community Center
Dessert Shop,Fast Food
Furniture / Home Store,Store
Auto Garage,Store
Shopping Mall,Store
Convenience Store,Store
Basketball Court,Sports
Construction & Landscaping,Park
Spa,Beauty
Auto Workshop,Store
Tennis Stadium,Sports
Chinese Restaurant,Restaurant
Snack Place,Fast Food
Brewery,Bar
Cocktail Bar,Bar
Mexican Restaurant,Restaurant
Vietnamese Restaurant,Restaurant
Department Store,Store
Paper / Office Supplies Store,Store
BBQ Joint,Fast Food
Thrift / Vintage Store,Store
Speakeasy,Store
Japanese Restaurant,Restaurant
Caribbean Restaurant,Restaurant
Cuban Restaurant,Restaurant
Electronics Store,Store
Toy / Game Store,Store
Pub,Bar
Optical Shop,Store
Food Court,Fast Food
Metro Station,Public Transport
Business Service,Store
Farmers Market,Groceries
Scenic Lookout,Arts
Flower Shop,Store
Ice Cream Shop,Fast Food
Breakfast Spot,Restaurant
Supermarket,Groceries
Bistro,Restaurant
Filipino Restaurant,Restaurant
Hotel,Hotel
Light Rail Station,Public Transport
Yoga Studio,Sports
Ramen Restaurant,Restaurant
Modern European Restaurant,Restaurant
Juice Bar,Bar
Gay Bar,Bar
Thai Restaurant,Restaurant
Adult Boutique,Store
Sake Bar,Bar
Clothing Store,Store
Lounge,Hotel
College Rec Center,Education
Strip Club,Bar
Movie Theater,Arts
Gym / Fitness Center,Sports
Shoe Store,Store
Beach,Beach
Harbor / Marina,Beach
Boat or Ferry,Beach
Jewelry Store,Store
Fish Market,Groceries
Butcher,Groceries
Irish Pub,Bar
Smoke Shop,Store
Video Store,Store
Salon / Barbershop,Beauty
Dance Studio,Arts
Curling Ice,Sports
Bubble Tea Shop,Cafe
Taiwanese Restaurant,Restaurant
Szechuan Restaurant,Restaurant
Medical Supply Store,Store
Wine Shop,Store
Gift Shop,Store
Soup Place,Restaurant
Baseball Field,Sports
Shipping Store,Store
Lighting Store,Store
Boutique,Store
Food,Restaurant
Wine Bar,Bar
Jazz Club,Bar
Distribution Center,Store
Dive Bar,Bar
Health Food Store,Groceries
Fish & Chips Shop,Store
Bus Station,Public Transport
Music Store,Store
Plaza,Community Center
French Restaurant,Restaurant
Laundry Service,Laundry
Camera Store,Store
Home Service,Store
Other Repair Shop,Store
Garden Center,Community Center
Cosmetics Shop,Store
Women's Store,Store
Sporting Goods Shop,Store
Platform,Sports
American Restaurant,Restaurant
Accessories Store,Store
Frozen Yogurt Shop,Fast Food
Science Museum,Arts
Theme Park Ride / Attraction,Arts
Health & Beauty Service,Store
Board Shop,Store
Skate Park,Sports
Food & Drink Shop,Bar
Golf Course,Sports
Moving Target,Sports
Nail Salon,Beauty
Automotive Shop,Store
Hockey Arena,Sports
Carpet Store,Store
Massage Studio,Beauty
Field,Sports
Tennis Court,Sports
Seafood Restaurant,Restaurant
Bus Line,Public Transport
Wings Joint,Fast Food
Chocolate Shop,Fast Food
Arts & Crafts Store,Arts
Arcade,Store
Neighborhood,Public Transport
Art Gallery,Arts
Poke Place,Restaurant
University,Education
Donut Shop,Fast Food
Noodle House,Restaurant
Greek Restaurant,Restaurant
Outdoors & Recreation,Sports
Turkish Restaurant,Restaurant
Performing Arts Venue,Arts
Bike Shop,Sports
Athletics & Sports,Sports
Ethiopian Restaurant,Restaurant
Hawaiian Restaurant,Restaurant
Hotel Bar,Hotel
Beach Bar,Bar
Record Shop,Store
Dumpling Restaurant,Restaurant
Hotpot Restaurant,Restaurant
Shopping Plaza,Store
Boat Launch,Store
Martial Arts School,Sports
Big Box Store,Store
German Restaurant,Restaurant
Creperie,Fast Food
Molecular Gastronomy Restaurant,Restaurant
Beer Bar,Bar
Bagel Shop,Fast Food
Cemetery,Government
Bus Stop,Public Transport
Road,Road
Tapas Restaurant,Restaurant
Comfort Food Restaurant,Restaurant
Smoothie Shop,Fast Food
Design Studio,Arts
Farm,Groceries
Theme Restaurant,Restaurant
Men's Store,Store
Rock Club,Bar
Boxing Gym,Sports
South American Restaurant,Restaurant
Soccer Stadium,Sports
Nightclub,Bar
Tex-Mex Restaurant,Restaurant
Fried Chicken Joint,Fast Food
Indie Movie Theater,Arts
Whisky Bar,Bar
Southern / Soul Food Restaurant,Restaurant
Hot Dog Joint,Fast Food
Rental Car Location,Store
Sports Club,Sports
Souvlaki Shop,Store
Candy Store,Fast Food
Mobile Phone Shop,Store
Auto Dealership,Store
Building,Building
Bridal Shop,Store
Office,Office
Mini Golf,Sports
Garden,Park
Museum,Arts
Government Building,Government
Lake,Park
Post Office,Government
Hakka Restaurant,Restaurant
Bridge,Building
New American Restaurant,Restaurant
Persian Restaurant,Restaurant
Food Truck,Fast Food
Taco Place,Fast Food
Hostel,Hotel
Belgian Restaurant,Restaurant
Doner Restaurant,Restaurant
Hospital,Government
Bed & Breakfast,Hotel
Concert Hall,Arts
Music School,Arts
College Theater,Education
Art Museum,Arts
College Arts Building,Education
Animal Shelter,Pets
Brazilian Restaurant,Restaurant
Hookah Bar,Bar
Lawyer,Office
Event Service,Office
Hardware Store,Store
Indonesian Restaurant,Restaurant
Fireworks Store,Store
